yyyy,mm,dd,areaNo.,flag,Temp.
2018,3,27,508,P,12.26
2018,3,28,508,P,12.63
2018,3,29,508,P,12.6
2018,3,30,508,P,12.15
2018,3,31,508,P,11.52
2018,4,1,508,P,11.19
2018,4,2,508,P,11.71
2018,4,3,508,P,12.52
2018,4,4,508,P,13.01
2018,4,5,508,P,13.29
2018,4,6,508,P,13.46
2018,4,7,508,P,13.05
2018,4,8,508,P,11.95
2018,4,9,508,P,11.94
2018,4,10,508,P,12.23
2018,4,11,508,P,12.34
2018,4,12,508,P,12.68
2018,4,13,508,P,13
2018,4,14,508,P,13.19
2018,4,15,508,P,12.81
2018,4,16,508,P,12.57
2018,4,17,508,P,12.43
2018,4,18,508,P,13.18
2018,4,19,508,P,13.71
2018,4,20,508,P,14.07
2018,4,21,508,P,14.38
2018,4,22,508,P,14.7
2018,4,23,508,P,14.91
2018,4,24,508,P,15.11
2018,4,25,508,P,14.47
2018,4,26,508,P,14.03
2018,4,27,508,P,14.2
2018,4,28,508,P,14.69
2018,4,29,508,P,14.84
2018,4,30,508,P,15.01
2018,5,1,508,P,15.21
2018,5,2,508,P,15.27
2018,5,3,508,P,14.9
2018,5,4,508,P,14.54
2018,5,5,508,P,14.39
2018,5,6,508,P,14.37
2018,5,7,508,P,14.4
2018,5,8,508,P,14.31
2018,5,9,508,P,14.45
2018,5,10,508,P,14.73
2018,5,11,508,P,15.19
2018,5,12,508,P,15.6
2018,5,13,508,P,15.75
2018,5,14,508,P,16.21
2018,5,15,508,P,16.5
2018,5,16,508,P,16.8
2018,5,17,508,P,17.67
2018,5,18,508,P,18.14
2018,5,19,508,P,18.02
2018,5,20,508,P,16.71
2018,5,21,508,P,16.42
2018,5,22,508,P,16.62
2018,5,23,508,P,16.99
2018,5,24,508,P,16.68
2018,5,25,508,P,16.85
2018,5,26,508,P,17.2
2018,5,27,508,P,17.28
2018,5,28,508,P,17.33
2018,5,29,508,P,17.31
2018,5,30,508,P,17.9
2018,5,31,508,P,18.37
2018,6,1,508,P,18.33
2018,6,2,508,P,18.38
2018,6,3,508,P,18.3
2018,6,4,508,P,18.4
2018,6,5,508,P,18.4
2018,6,6,508,P,18.54
2018,6,7,508,P,18.52
2018,6,8,508,P,18.82
2018,6,9,508,P,19.96
2018,6,10,508,P,20.14
2018,6,11,508,P,20.25
2018,6,12,508,P,19.41
2018,6,13,508,P,19.4
2018,6,14,508,P,19.37
2018,6,15,508,P,19.33
2018,6,16,508,P,19.15
2018,6,17,508,P,19.14
2018,6,18,508,P,19.2
2018,6,19,508,P,19.16
2018,6,20,508,P,19.01
2018,6,21,508,P,19.78
2018,6,22,508,P,19.88
2018,6,23,508,P,19.95
2018,6,24,508,P,20.24
2018,6,25,508,P,20.79
2018,6,26,508,P,20.99
2018,6,27,508,P,21.25
2018,6,28,508,P,21.27
2018,6,29,508,P,21.26
2018,6,30,508,P,21.21
2018,7,1,508,P,21.53
2018,7,2,508,P,21.51
2018,7,3,508,P,21.62
2018,7,4,508,P,21.62
2018,7,5,508,P,21.73
2018,7,6,508,P,21.9
2018,7,7,508,P,21.94
2018,7,8,508,P,21.91
2018,7,9,508,P,23.09
2018,7,10,508,P,23.61
2018,7,11,508,P,23.75
2018,7,12,508,P,24.25
